id	question	answer	category	difficulty
naked-100-euro-gold-011	Naked 100 - Euro Gold: Premium tobacco experience showcasing authentic {{c1::Caribbean tobacco}} leaves for connoisseurs.	Naked 100 - Euro Gold	Tobacco	Beginner
bad-drip-cereal-trip-012	Bad Drip - Cereal Trip: Breakfast cereal adventure with colorful {{c1::fruity cereal}}, cold {{c2::milk}}, and a {{c3::frosted donut}} twist.	Bad Drip - Cereal Trip	Breakfast	Advanced
naked-100-american-patriot-013	Naked 100 - American Patriot: All-American classic featuring smooth {{c1::tobacco}} blend for traditional vaping enthusiasts.	Naked 100 - American Patriot	Tobacco	Beginner
naked-100-really-berry-014	Naked 100 - Really Berry: Berry medley combining dark {{c1::blackberry}}, sweet {{c2::blueberry}}, and bright {{c3::lemon}} citrus notes.	Naked 100 - Really Berry	Berry	Advanced
twist-red-no-1-015	Twist - Red No. 1: Refreshing red blend mixing juicy {{c1::watermelon}} with tangy {{c2::lemonade}} for summer perfection.	Twist - Red No. 1	Fruit	Intermediate
one-hit-the-man-016	One Hit - The Man: Creamy dessert featuring fresh {{c1::strawberries}} with fluffy {{c2::whipped cream}} and smooth {{c3::milk}} base.	One Hit - The Man	Dessert	Advanced
one-hit-mini-muffin-man-017	One Hit - Mini Muffin Man: Bakery delight with warm {{c1::strawberry muffin}} enhanced by aromatic {{c2::cinnamon}} spice notes.	One Hit - Mini Muffin Man	Bakery	Intermediate
aqua-swell-018	Aqua - Swell: Candy shop experience combining sweet {{c1::watermelon}} with nostalgic {{c2::candy}} flavoring.	Aqua - Swell	Fruit	Intermediate
one-hit-my-man-019	One Hit - My Man: Ice cream parlor treat blending {{c1::strawberry}} with {{c2::vanilla}} and rich {{c3::chocolate ice cream}}.	One Hit - My Man	Dessert	Advanced
glas-bsx-juicy-apple-020	Glas BSX - Juicy Apple: Orchard-fresh experience combining crisp {{c1::red apple}} with tart {{c2::green apple}} varieties.	Glas BSX - Juicy Apple	Fruit	Intermediate
twist-mint-0-021	Twist - Mint 0: Cool mint experience featuring refreshing {{c1::mint}} with icy {{c2::menthol}} and subtle {{c3::sweetness}}.	Twist - Mint 0	Mint	Advanced
twist-pink-punch-0-022	Twist - Pink Punch 0°: Chilled pink perfection mixing sweet {{c1::strawberry}} with tangy {{c2::lemonade}} on ice.	Twist - Pink Punch 0°	Berry	Intermediate
twist-blend-no-1-023	Twist - Blend No. 1: Classic party punch featuring a medley of mixed {{c1::fruit punch}} flavors.	Twist - Blend No. 1	Fruit	Beginner
twist-chilled-remix-024	Twist - Chilled Remix: Tropical cooling blend with sweet {{c1::honeydew melon}} enhanced by refreshing {{c2::menthol}} chill.	Twist - Chilled Remix	Tropical	Intermediate
twist-iced-pucker-punch-025	Twist - Iced Pucker Punch: Frozen fruit medley combining {{c1::strawberries}}, {{c2::blueberries}}, tropical {{c3::pineapple}}, and icy {{c4::menthol}}.	Twist - Iced Pucker Punch	Berry	Advanced
twist-space-no-1-026	Twist - Space No. 1: Cosmic candy adventure mixing {{c1::strawberry}}, tangy {{c2::kiwi}}, and fizzy {{c3::popping candy}} sensations.	Twist - Space No. 1	Carnival	Advanced
twist-cocktail-blend-027	Twist - Cocktail Blend: Premium cocktail blend featuring {{c1::strawberries}}, tart {{c2::raspberries}}, exotic {{c3::kiwi}}, and juicy {{c4::watermelon}}.	Twist - Cocktail Blend	Berry	Advanced
gorilla-warfare-50-bmg-028	Gorilla Warfare - 50 BMG: Military-grade tropical blend combining sweet {{c1::pineapple}} with exotic {{c2::dragon fruit}} intensity.	Gorilla Warfare - 50 BMG	Tropical	Intermediate
twist-pink-punch-no-1-029	Twist - Pink Punch No. 1: Pink lemonade perfection with tart {{c1::lemonade}} sweetened by {{c2::strawberry syrup}} essence.	Twist - Pink Punch No. 1	Citrus	Intermediate
gorilla-warfare-308-030	Gorilla Warfare - 308: Triple fruit harmony featuring sweet {{c1::honeydew}}, juicy {{c2::strawberry}}, and crisp {{c3::pear}} notes.	Gorilla Warfare - 308	Fruit	Advanced
gorilla-warfare-270-reloaded-031	Gorilla Warfare - 270 Reloaded: Tactical dessert combining sweet {{c1::strawberry}} with buttery {{c2::pastry}} for battlefield comfort.	Gorilla Warfare - 270 Reloaded	Dessert	Intermediate
big-bottle-co-summer-drink-032	Big Bottle Co - Summer Drink: Summer beverage blend mixing dark {{c1::blackberry}}, sweet {{c2::peach}}, and refreshing {{c3::lemonade}}.	Big Bottle Co - Summer Drink	Berry	Advanced
sad-boy-butter-cookie-033	Sad Boy - Butter Cookie: European bakery treat featuring rich {{c1::butter cookie}} with bright {{c2::lemon zest}} finish.	Sad Boy - Butter Cookie	Bakery	Intermediate
sad-boy-coconut-cake-034	Sad Boy - Coconut Cake: Tropical cake experience with fluffy {{c1::coconut cake}} and {{c2::toasted coconut}} flakes.	Sad Boy - Coconut Cake	Dessert	Intermediate
bad-drip-bad-apple-035	Bad Drip - Bad Apple: Orchard blend combining sweet {{c1::red apple}} with tart {{c2::green apple}} varieties.	Bad Drip - Bad Apple	Fruit	Intermediate
bad-drip-god-nectar-036	Bad Drip - God Nectar: Divine nectar featuring {{c1::passion fruit}}, bright {{c2::orange}}, tropical {{c3::mango}}, and exotic {{c4::guava}}.	Bad Drip - God Nectar	Tropical	Advanced
sad-boy-key-lime-cookie-037	Sad Boy - Key Lime Cookie: Pie perfection with tangy {{c1::key lime}} filling, sweet {{c2::cookie crumbles}}, and crunchy {{c3::graham crackers}}.	Sad Boy - Key Lime Cookie	Dessert	Advanced
sad-boy-punch-berry-038	Sad Boy - Punch Berry: Berry citrus punch combining mixed {{c1::berries}}, bright {{c2::lemons}}, and tart {{c3::raspberries}}.	Sad Boy - Punch Berry	Berry	Advanced
sad-boy-strawberry-blood-039	Sad Boy - Strawberry Blood: Pure berry essence showcasing ripe {{c1::strawberries}} in their most concentrated form.	Sad Boy - Strawberry Blood	Berry	Beginner
sad-boy-blueberry-jam-040	Sad Boy - Blueberry Jam: Breakfast jam featuring sweet {{c1::blueberry jam}} spread on fresh {{c2::sugar cookies}}.	Sad Boy - Blueberry Jam	Breakfast	Intermediate
sad-boy-funnel-cake-041	Sad Boy - Funnel Cake: Fair food fantasy with creamy {{c1::cheesecake}} topped with fresh {{c2::strawberries}}.	Sad Boy - Funnel Cake	Dessert	Intermediate
sad-boy-rainbow-blood-042	Sad Boy - Rainbow Blood: Mystical fruit blend combining exotic {{c1::tropical fruit}} with mixed {{c2::berry}} medley.	Sad Boy - Rainbow Blood	Fruit	Intermediate
sad-boy-unicorn-tears-043	Sad Boy - Unicorn Tears: Magical treat featuring buttery {{c1::cookie}} base with bright {{c2::citrus}} enchantment.	Sad Boy - Unicorn Tears	Carnival	Intermediate
sad-boy-strawberry-jam-044	Sad Boy - Strawberry Jam: Classic combination of soft {{c1::sugar cookie}} generously topped with sweet {{c2::strawberry jam}}.	Sad Boy - Strawberry Jam	Bakery	Intermediate
pachamama-black-ice-menthol-045	Pachamama - Black Ice Menthol: Arctic berry blend featuring dark {{c1::blackberry}}, sweet {{c2::blueberry}}, with icy {{c3::menthol}} finish.	Pachamama - Black Ice Menthol	Berry	Advanced
pachamama-sorbet-046	Pachamama - Sorbet: Frozen dessert combining tart {{c1::raspberry}} with bright {{c2::lemon}} sorbet refreshment.	Pachamama - Sorbet	Dessert	Intermediate
pachamama-fuji-047	Pachamama - Fuji: Japanese orchard blend mixing crisp {{c1::Fuji apple}} with sweet {{c2::strawberries}} and juicy {{c3::nectarines}}.	Pachamama - Fuji	Fruit	Advanced
vaporgate-violette-048	Vaporgate - Violette: Floral berry experience combining sweet {{c1::blueberry}} with exotic {{c2::pomegranate}} essence.	Vaporgate - Violette	Berry	Intermediate
vaporgate-hyperdrive-049	Vaporgate - Hyperdrive: Tropical acceleration featuring sweet {{c1::pineapple}}, juicy {{c2::peach}}, and smooth {{c3::cream}} velocity.	Vaporgate - Hyperdrive	Tropical	Advanced
gorilla-warfare-270-050	Gorilla Warfare - 270: Tactical sweetness combining buttery {{c1::pastry}} with fresh {{c2::strawberry}} ammunition.	Gorilla Warfare - 270	Dessert	Intermediate
vapetasia-rainbow-road-051	Vapetasia - Rainbow Road: Childhood cereal adventure with colorful {{c1::fruity cereal}} swimming in cold {{c2::milk}}.	Vapetasia - Rainbow Road	Breakfast	Intermediate
vapetasia-royalty-2-052	Vapetasia - Royalty 2: Royal blend featuring rich {{c1::custard}}, smooth {{c2::vanilla}}, and premium {{c3::tobacco}} sophistication.	Vapetasia - Royalty 2	Dessert	Advanced
vapetasia-killer-kustard-original-053	Vapetasia - Killer Kustard Original: The original featuring silky {{c1::vanilla custard}} in its purest, most decadent form.	Vapetasia - Killer Kustard Original	Dessert	Beginner
vapetasia-killer-kustard-blueberry-054	Vapetasia - Killer Kustard Blueberry: Berry enhancement with creamy {{c1::vanilla custard}} swirled with fresh {{c2::blueberries}}.	Vapetasia - Killer Kustard Blueberry	Dessert	Intermediate
vapetasia-killer-kustard-strawberry-055	Vapetasia - Killer Kustard Strawberry: Strawberry perfection combining smooth {{c1::vanilla custard}} with ripe {{c2::strawberries}}.	Vapetasia - Killer Kustard Strawberry	Dessert	Intermediate
aqua-flow-056	Aqua - Flow: Refreshing stream mixing bright {{c1::citrus}} with sweet {{c2::berries}} for natural flow.	Aqua - Flow	Berry	Intermediate
aqua-oasis-057	Aqua - Oasis: Desert oasis featuring juicy {{c1::peach}}, tropical {{c2::papaya}}, and sweet {{c3::cantaloupe}} escape.	Aqua - Oasis	Tropical	Advanced
aqua-drops-058	Aqua - Drops: Pure candy essence delivering concentrated {{c1::candy}} sweetness and nostalgia with tangy citrus.	Aqua - Drops	Fruit	Beginner
twist-yellow-peach-059	Twist - Yellow Peach: Golden summer blend mixing ripe {{c1::peaches}} with refreshing sweetness.	Twist - Yellow Peach	Fruit	Beginner
glas-bsx-banana-cream-pie-060	Glas BSX - Banana Cream Pie: Diner classic featuring ripe {{c1::banana}} with buttery {{c2::pie crust}} and rich {{c3::vanilla custard}}.	Glas BSX - Banana Cream Pie	Dessert	Advanced
twist-sweet-sour-061	Twist - Sweet & Sour: Sweet and sour sensation showcasing juicy {{c1::watermelon}} with tangy twist.	Twist - Sweet & Sour	Fruit	Beginner
one-hit-muffin-man-062	One Hit - Muffin Man: Bakery morning featuring crisp {{c1::apple}} baked into warm {{c2::cinnamon muffin}} perfection.	One Hit - Muffin Man	Bakery	Intermediate
twist-wild-red-063	Twist - Wild Red: Wild red refreshment combining sweet {{c1::watermelon}} with refreshing {{c2::lemonade}} sunshine.	Twist - Wild Red	Fruit	Intermediate
twist-banana-amber-064	Twist - Banana Amber: Breakfast cookie featuring hearty {{c1::oatmeal cookie}} with sweet {{c2::banana}} enhancement.	Twist - Banana Amber	Breakfast	Intermediate
twist-dragonthol-065	Twist - Dragonthol: Exotic cooling experience with tropical {{c1::dragonfruit}} enhanced by refreshing {{c2::menthol}}.	Twist - Dragonthol	Tropical	Intermediate
twist-white-grape-066	Twist - White Grape: Sophisticated grape blend featuring sweet {{c1::white grape}}, bright {{c2::citrus}}, and {{c3::candied apple}}.	Twist - White Grape	Fruit	Advanced
one-hit-fire-man-067	One Hit - Fire Man: Summery refreshment featuring tangy {{c1::pink lemonade}} for pure sunshine vibes.	One Hit - Fire Man	Citrus	Beginner
one-hit-army-man-068	One Hit - Army Man: Military dessert with tangy {{c1::key lime pie}} enhanced by {{c2::citrus}} and rich {{c3::custard}}.	One Hit - Army Man	Dessert	Advanced
innevape-heisenberg-069	Innevape - Heisenberg: Crystal blue experience combining sweet {{c1::blue raspberry}} with cooling {{c2::menthol}} intensity.	Innevape - Heisenberg	Berry	Intermediate
naked-100-berry-070	Naked 100 - Berry: Triple berry blend featuring dark {{c1::blackberry}}, sweet {{c2::blueberry}}, and bright {{c3::lemon}}.	Naked 100 - Berry	Berry	Advanced
vapetasia-milk-of-the-poppy-071	Vapetasia - Milk of the Poppy: Exotic cream blend with smooth {{c1::cream}}, fresh {{c2::strawberries}}, and tropical {{c3::dragon fruit}}.	Vapetasia - Milk of the Poppy	Dessert	Advanced
twist-green-no-1-072	Twist - Green No. 1: Green melon medley combining sweet {{c1::honeydew melon}} with refreshing {{c2::cantaloupe}}.	Twist - Green No. 1	Fruit	Intermediate
vapetasia-pineapple-express-073	Vapetasia - Pineapple Express: Tropical custard featuring sweet {{c1::pineapple}} swirled with rich {{c2::custard}} smoothness.	Vapetasia - Pineapple Express	Tropical	Intermediate
aqua-rush-074	Aqua - Rush: Adrenaline rush mixing mixed {{c1::fruit}} flavors with intense {{c2::menthol}} acceleration.	Aqua - Rush	Fruit	Intermediate
one-hit-island-man-075	One Hit - Island Man: Island paradise combining {{c1::strawberries}}, {{c2::watermelon}}, bright {{c3::orange}}, and exotic {{c4::kiwi}}.	One Hit - Island Man	Tropical	Advanced
glas-bsx-fizzy-lemonade-076	Glas BSX - Fizzy Lemonade: Sparkling citrus featuring bubbly {{c1::lemonade}} with zesty {{c2::lemon-lime}} carbonation.	Glas BSX - Fizzy Lemonade	Citrus	Intermediate
glas-bsx-blueberry-cake-077	Glas BSX - Blueberry Cake: Birthday celebration with fluffy {{c1::vanilla cake}}, sweet {{c2::butter cream}}, and fresh {{c3::blueberries}}.	Glas BSX - Blueberry Cake	Dessert	Advanced
glas-bsx-butterscotch-reserve-078	Glas BSX - Butterscotch Reserve: Premium reserve featuring smooth {{c1::tobacco}} with rich {{c2::butterscotch}} and sweet {{c3::caramel}}.	Glas BSX - Butterscotch Reserve	Tobacco	Advanced
glas-bsx-cool-melon-079	Glas BSX - Cool Melon: Cooling melon blend with sweet {{c1::cantaloupe}}, crisp {{c2::cucumber}}, and refreshing {{c3::menthol}}.	Glas BSX - Cool Melon	Fruit	Advanced
twist-purple-grape-080	Twist - Purple Grape: Purple perfection combining mixed {{c1::berry}} medley with sweet {{c2::grape}} essence.	Twist - Purple Grape	Fruit	Intermediate
naked-100-melon-081	Naked 100 - Melon: Tropical trio featuring sweet {{c1::honeydew}}, tropical {{c2::pineapple}}, and refreshing {{c3::cantaloupe}}.	Naked 100 - Melon	Tropical	Advanced
bad-drip-bad-blood-082	Bad Drip - Bad Blood: Dark berry blend combining sweet {{c1::blueberry}}, tart {{c2::pomegranate}}, and smooth {{c3::vanilla}}.	Bad Drip - Bad Blood	Berry	Advanced
bad-drip-don-t-care-bear-083	Bad Drip - Don't Care Bear: Gummy paradise featuring chewy {{c1::gummy bear}} with juicy {{c2::pear}} and sweet {{c3::peach}}.	Bad Drip - Don't Care Bear	Carnival	Advanced
bad-drip-farley-s-gnarly-sauce-084	Bad Drip - Farley's Gnarly Sauce: Gnarly combo mixing fresh {{c1::strawberries}}, tangy {{c2::kiwi}}, with nostalgic {{c3::bubble gum}}.	Bad Drip - Farley's Gnarly Sauce	Berry	Advanced
bad-drip-ugly-butter-085	Bad Drip - Ugly Butter: Ugly delicious blend with creamy {{c1::banana pudding}}, warm {{c2::cinnamon}}, and sweet {{c3::sugar pastry}}.	Bad Drip - Ugly Butter	Dessert	Advanced
sad-boy-mango-blood-086	Sad Boy - Mango Blood: Pure tropical essence featuring sweet {{c1::mango}} in its most concentrated form.	Sad Boy - Mango Blood	Tropical	Beginner
innevape-carousel-087	Innevape - Carousel: Carnival ride featuring fluffy {{c1::cotton candy}} with mixed {{c2::fruit}} excitement.	Innevape - Carousel	Carnival	Intermediate
innevape-whatamelon-088	Innevape - Whatamelon: Apple menthol experience combining crisp {{c1::apple}} with intense {{c2::menthol}} cooling.	Innevape - Whatamelon	Mint	Intermediate
twist-rainbow-no-1-089	Twist - Rainbow No. 1: Rainbow candy adventure mixing colorful {{c1::fruit}} with chewy {{c2::sour taffy}} fun.	Twist - Rainbow No. 1	Carnival	Intermediate
sad-boy-shamrock-cookie-090	Sad Boy - Shamrock Cookie: Irish-inspired treat with buttery {{c1::cookie}} and refreshing {{c2::mint milkshake}} coolness.	Sad Boy - Shamrock Cookie	Bakery	Intermediate
naked-100-hawaiian-pog-091	Naked 100 - Hawaiian Pog: Hawaiian paradise featuring exotic {{c1::passion fruit}}, bright {{c2::orange}}, and tropical {{c3::guava}}.	Naked 100 - Hawaiian Pog	Tropical	Advanced
gorilla-warfare-5-56-092	Gorilla Warfare - 5.56: Desert tactical blend combining sweet {{c1::blue agave}} with prickly {{c2::cactus}} essence.	Gorilla Warfare - 5.56	Fruit	Intermediate
gorilla-warfare-0-45-093	Gorilla Warfare - 0.45: Triple threat featuring tangy {{c1::blue raspberry}}, juicy {{c2::peach}}, and refreshing {{c3::sweet tea}}.	Gorilla Warfare - 0.45	Berry	Advanced
sad-boy-nola-line-strawberry-094	Sad Boy - Nola Line Strawberry: Healthy breakfast with crunchy {{c1::granola}}, fresh {{c2::strawberry}}, and rich {{c3::sweet cream}}.	Sad Boy - Nola Line Strawberry	Breakfast	Advanced
sad-boy-strawberry-cheesecake-095	Sad Boy - Strawberry Cheesecake: Classic dessert featuring rich {{c1::cheesecake}} topped with fresh {{c2::strawberries}}.	Sad Boy - Strawberry Cheesecake	Dessert	Intermediate
gorilla-warfare-0-50-bmg-reloaded-096	Gorilla Warfare - 0.50 BMG Reloaded: Reloaded tropical assault with {{c1::strawberry}}, {{c2::pineapple}}, {{c3::dragon fruit}}, and {{c4::pina colada}}.	Gorilla Warfare - 0.50 BMG Reloaded	Tropical	Advanced
twist-purple-no-1-097	Twist - Purple No. 1: Purple perfection combining sweet {{c1::blueberry}} with bright {{c2::lemon}} citrus balance.	Twist - Purple No. 1	Berry	Intermediate
silverback-rocky-098	Silverback - Rocky: Mountain blend featuring sweet {{c1::banana}} with rich {{c2::strawberry ice cream}} and creamy {{c3::milkshake}}.	Silverback - Rocky	Dessert	Advanced
silverback-booboo-099	Silverback - Booboo: Gorilla grape mix combining sweet {{c1::grape}} with juicy {{c2::blueberry}} intensity.	Silverback - Booboo	Berry	Intermediate
one-hit-magic-man-100	One Hit - Magic Man: Magical candy featuring sweet {{c1::watermelon}}, chewy {{c2::gummy candy}}, and {{c3::mixed fruit}}.	One Hit - Magic Man	Carnival	Advanced
silverback-lola-101	Silverback - Lola: Tropical gorilla blend with sweet {{c1::strawberry}}, exotic {{c2::dragonfruit}}, and creamy {{c3::banana}}.	Silverback - Lola	Tropical	Advanced
silverback-jenny-102	Silverback - Jenny: Bubblegum paradise mixing {{c1::watermelon bubblegum}} with fresh {{c2::strawberry}} sweetness.	Silverback - Jenny	Carnival	Intermediate
silverback-sandy-103	Silverback - Sandy: Sandy sweetness featuring {{c1::watermelon bubblegum}} enhanced with juicy {{c2::strawberry}}.	Silverback - Sandy	Carnival	Intermediate
silverback-harambe-104	Silverback - Harambe: Tribute blend with warm {{c1::cinnamon}} spice, rich {{c2::rum}}, and smooth {{c3::cream}} honor.	Silverback - Harambe	Dessert	Advanced
silverback-amy-105	Silverback - Amy: Gourmet dessert featuring {{c1::vanilla bean}}, rich {{c2::caramel}}, and creamy {{c3::peanut butter}}.	Silverback - Amy	Dessert	Advanced
